"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
222,Profesorado,"Educación Básica para I, II y III Ciclos",Instituto Especializado de Educación Superior El Espíritu Santo,"2020",1
220,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2017",1
226,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2016",1
236,Profesorado,Educación Inicial y Parvularia,Universidad Pedagógica de El Salvador,"2021",1
245,Licenciatura,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2019",1
249,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2012",1
254,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
253,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
260,Profesorado,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2012",1
261,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2021",1
255,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2015",1
246,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2012",1
267,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2012",1
252,Licenciatura,Ciencias Naturales,Universidad de Oriente,"2015",1
271,Profesorado,Ciencias Sociales,Universidad Occidental de El Salvador,"2003",1
272,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2013",1
280,Ingeniería,Matemática,Universidad de El Salvador- Santa Ana,"2014",1
263,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"14/07/2011",1
285,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
279,Licenciatura,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2021",1
281,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2016",1
290,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2021",1
286,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2014",1
238,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2015",1
302,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2013",1
293,Profesorado,Matemática,Universidad de El Salvador,"2014",1
262,Licenciatura,Educación Parvularia,Universidad Modular Abierta,"2019",1
308,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2013",1
239,Licenciatura,Ciencias Comerciales,Universidad Capitán General Gerardo Barrios - regional Usulután,"2009",1
317,Profesorado,Educación Inicial y Parvularia,Universidad Pedagógica de El Salvador,"2020",1
319,Profesorado,Matemática para III Ciclo de Educación Básica y Media,Universidad de El Salvador- Santa Ana,"2018",1
322,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2013",1
327,Profesorado,Ciencias Sociales,Universidad de El Salvador,"2010",1
325,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2015",1
328,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2019",1
307,Licenciatura,Idioma Inglés,Universidad de El Salvador,"2013",1
330,Profesorado,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2015",1
347,Profesorado,Educación Física,Universidad Pedagógica de El Salvador,"2011",1
354,Profesorado,"Educación Básica para I, II y III Ciclos",Universidad Pedagógica de El Salvador,"2016",1
350,Licenciatura,Ciencias Sociales,Universidad de El Salvador,"2012",1
365,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Vicente,"2012",1
376,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2014",1
379,Profesorado,Sistemas Informáticos,Universidad Capitán General Gerardo Barrios,"2013",1
381,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios - regional Usulután,"2021",1
383,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"30/04/2021",1
373,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador,"2020",1
395,Licenciatura,Idioma Inglés,Universidad de Oriente,"2018",1
396,Licenciatura,Ciencias Sociales,Universidad Panamericana,"2013",1
397,Licenciatura,Campo de la Salud,Universidad de El Salvador,"2003",1
411,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios,"2020",1
429,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2020",1
440,Licenciatura,Matemática,Universidad de Sonsonate,"2014",1
443,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2016",1
444,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2018",1
450,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2019",1
453,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2013",1
464,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2018",1
466,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2018",1
478,Profesorado,Idioma Inglés,Universidad Centroamericana José Simeón Cañas,"2020",1
367,Licenciatura,Ciencias Sociales,Universidad de Oriente,"2013",1
393,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2018",1
494,Licenciatura,Administración de Empresas,Universidad Panamericana - regional Ahuachapán,"2012",1
506,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2014",1
507,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2012",1
533,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Sonsonate,"2013",1
498,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2019",1
489,Profesorado,Computación,Universidad Capitán General Gerardo Barrios,"2014",1
456,Profesorado,Educación Física,Universidad Pedagógica de El Salvador,"2013",1
549,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2010",1
544,Licenciatura,Computación,Universidad Luterana Salvadoreña,"2016",1
573,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2018",1
576,Maestría,Formación Pedagógica,Universidad Doctor Andrés Bello - regional San Miguel,"2020",1
565,Maestría,Formación Pedagógica,Universidad de El Salvador- Santa Ana,"2015",1
571,Maestría,Administración de la Educación,Universidad Pedagógica de El Salvador,"2020",1
583,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2017",1
593,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2018",1
594,Licenciatura,Ciencias Sociales,Universidad de Oriente,"2004",1
579,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2018",1
508,Licenciatura,Ciencias Sociales,Universidad Modular Abierta - regional San Miguel,"2006",1
563,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2010",1
637,Licenciatura,Administración de Empresas,Universidad de Oriente,"2014",1
629,Licenciatura,Idioma Inglés,Universidad de Oriente,"2017",1
638,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios - regional Usulután,"2018",1
633,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2015",1
635,Profesorado,Computación,Universidad Católica de El Salvador,"2013",1
590,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2015",1
661,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2006",1
581,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador- Santa Ana,"2018",1
650,Licenciatura,Administración de la Educación,Universidad de El Salvador,"2021",1
663,Profesorado,"Educación Básica para I, II y III Ciclos",Universidad de Sonsonate,"2020",1
660,Licenciatura,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2017",1
678,Licenciatura,"Educación Física, Deporte y Recreación",Universidad Pedagógica de El Salvador,"2019",1
613,Profesorado,Computación,Universidad Pedagógica de El Salvador,"2012",1
690,Licenciatura,Computación,Universidad Pedagógica de El Salvador,"2012",1
701,Licenciatura,Ciencias Sociales,Universidad de Oriente,"26/10/2012",1
554,Licenciatura,Idioma Inglés,Universidad Francisco Gavidia,"2020",1
681,Profesorado,Ciencias Sociales,Universidad de El Salvador,"2007",1
719,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
720,Profesorado,Matemática,Universidad de El Salvador,"2015",1
