"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
10585,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2008",1
2501,Licenciatura,Ciencias Sociales,Universidad de El Salvador- Santa Ana,"2011",1
13726,Profesorado,Ciencias Sociales,Universidad Doctor Andrés Bello - regional San Miguel,"1989",1
12699,Licenciatura,Ciencias Sociales,Universidad Modular Abierta,"2012",1
2706,Licenciatura,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2020",1
11667,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador,"2020",1
13702,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2010",1
13724,Profesorado,Ciencias Comerciales,Instituto Especializado de Educación Superior El Espíritu Santo,"2008",1
10645,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2019",1
8979,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2018",1
4011,Licenciatura,Computación,Universidad Luterana Salvadoreña,"2009",1
7412,Profesorado,Educación Física,Universidad de Oriente,"2016",1
4040,Profesorado,Computación,Universidad Capitán General Gerardo Barrios,"2013",1
11545,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2020",1
13734,Licenciatura,Educación Parvularia,Universidad de Oriente,"2018",1
10885,Licenciatura,Idioma Inglés,Universidad de El Salvador,"2017",1
13710,Licenciatura,Ciencias de la Educación,Universidad de Sonsonate,"2018",1
13745,Licenciatura,Matemática,Universidad Pedagógica de El Salvador,"2018",1
13725,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2020",1
13270,Licenciatura,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2019",1
8129,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2012",1
13760,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2018",1
13742,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2015",1
10655,Profesorado,Mecánica Automotriz,Universidad Pedagógica de El Salvador,"2016",1
5782,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2017",1
13300,Profesorado,Educación Inicial y Parvularia,Instituto Especializado de Educación Superior El Espíritu Santo,"2017",1
10185,Licenciatura,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2020",1
13772,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios - regional Usulután,"2020",1
12193,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2020",1
13731,Profesorado,Educación Inicial y Parvularia,Universidad Pedagógica de El Salvador,"2018",1
8771,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2018",1
8389,Profesorado,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2018",1
8391,Licenciatura,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2016",1
8603,Licenciatura,"Educación Física, Deporte y Recreación",Universidad Pedagógica de El Salvador,"2018",1
1777,Profesorado,Educación Inicial y Parvularia,Universidad Pedagógica de El Salvador,"2017",1
8642,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2009",1
8314,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2018",1
12397,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2009",1
10571,Profesorado,Educación Física y Deportes,Universidad de El Salvador- Santa Ana,"2020",1
9186,Profesorado,Ciencias Naturales,Universidad de El Salvador,"2011",1
13783,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2008",1
13785,Profesorado,Ciencias Comerciales,"Ministerio de Educación, Ciencia y Tecnología","2007",1
4569,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2015",1
13804,Licenciatura,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2017",1
12543,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2007",1
12533,Licenciatura,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2020",1
10606,Profesorado,Educación Física y Deportes,Universidad de Oriente,"2019",1
13810,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2018",1
13814,Profesorado,Matemática,Universidad Pedagógica de El Salvador,"2013",1
8178,Licenciatura,Lenguaje y Literatura,Universidad de Sonsonate,"2012",1
13787,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2020",1
8260,Licenciatura,Matemática,Universidad de El Salvador- Santa Ana,"2021",1
8064,Licenciatura,Computación,Universidad Capitán General Gerardo Barrios,"2013",1
8467,Profesorado,Educación Física,Universidad Pedagógica de El Salvador,"2011",1
8115,Profesorado,Ciencias Comerciales,Universidad de El Salvador- Santa Ana,"2016",1
13819,Profesorado,Educación Parvularia (LESSA),Universidad de El Salvador - San Vicente,"2008",1
11338,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2013",1
13826,Licenciatura,Educación Parvularia,Universidad Luterana Salvadoreña,"2016",1
10148,Profesorado,Matemática,Universidad de El Salvador,"2020",1
13690,Profesorado,Educación Inicial y Parvularia,Instituto Especializado de Educación Superior El Espíritu Santo,"2020",1
11335,Profesorado,Matemática,Universidad Pedagógica de El Salvador,"2015",1
12557,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Santa Ana,"2015",1
13829,Licenciatura,Ciencias Sociales,Universidad Modular Abierta - regional Sonsonate,"2012",1
