Santa Rosa Guachipilín
Yamabal
Ciudad Delgado
Huizúcar
Ojos de Agua
San José Villanueva
Nueva Concepción
Victoria
El Congo
San Miguel Tepezontes
Panchimalco
San Antonio de la Cruz
San Juan Opico
Alegría
Nuevo Edén de San Juan
Osicala
San Simón
Santo Domingo Guzmán
Nejapa
Santo Domingo
San Miguel
Chilanga
La Laguna
Concepción de Ataco
San Luis La Herradura
Atiquizaya
Santa Cruz Analquito
Potonico
San Sebastián Salitrillo
Salcoatitán
Bolívar
El Tránsito
Santiago Nonualco
San Cayetano Istepeque
Chinameca
Jayaque
Olocuilta
San Agustín
Quezaltepeque
Armenia
Verapaz
Antiguo Cuscatlán
Polorós
Yoloaiquín
Jucuapa
Apaneca
Chirilagua
Nueva Esparta
La Palma
Comasagua
Concepción de Oriente
San José
Teotepeque
Tecoluca
Uluazapa
Yayantique
Guacotecti
Guadalupe
Intipucá
Anamorós
San Francisco Menéndez
Apopa
Rosario de Mora
Joateca
Sensuntepeque
San Jorge
Usulután
Comalapa
San Ildefonso
Tejutepeque
Lislique
Nahuizalco
Ayutuxtepeque
Conchagua
Jerusalén
Sensembra
Santa María Ostuma
San Fernando
San Antonio del Monte
Gualococti
Sesori
Cacaopera
San Emigdio
Cuisnahuat
Oratorio de Concepción
Candelaria
Meanguera del Golfo
San Matías
Acajutla
Izalco
Santa Isabel Ishuatán
Santiago de la Frontera
San Pedro Masahuat
Santa Rosa de Lima
San Alejo
El Paisnal
Nueva Trinidad
Estanzuelas
Nueva Guadalupe
San Dionisio
San Isidro
La Reina
Metapán
Ciudad Arce
San Martín
San Carlos
Jutiapa
Las Vueltas
Guatajiagua
Torola
San Francisco Lempa
Zacatecoluca
San Pablo Tacachico
Tamanique
Texistepeque
Talnique
San Cristóbal
San Juan Talpa
San Luis del Carmen
Jiquilisco
Paraíso de Osorio
Zaragoza
Jocoro
San Esteban Catarina
Juayúa
Cuyultitán
San Rafael Cedros
Ahuachapán
Tapalhuaca
Guaymango
Santa Tecla
Cinquera
Santa Clara
Colón
San Antonio del Mosco
Tenancingo
Ereguayquín
Caluco
San Antonio Masahuat
San Pedro Nonualco
San Sebastián
Soyapango
Jujutla
Chapeltique
San Francisco Chinameca
Cuscatancingo
San Luis Talpa
Santiago de María
Meanguera
San Antonio Pajonal
Citalá
San Rafael
El Refugio
Moncagua
El Rosario
Lolotique
Tacuba
Masahuat
Nombre de Jesús
San Rafael Oriente
San Francisco Gotera
Sociedad
El Sauce
Mercedes La Ceiba
Aguilares
Concepción Batres
Sonzacate
Perquín
San Buenaventura
Tecapán
San Lorenzo
Suchitoto
Arcatao
Comacarán
Santa Elena
La Libertad
San Rafael Obrajuelo
California
San Juan Nonualco
Mejicanos
Dulce Nombre de María
El Divisadero
San José Guayabal
San Pedro Puxtla
Ilobasco
Lolotiquillo
Sonsonate
San Pedro Perulapán
Turín
Concepción Quezaltepeque
Coatepeque
Candelaria de la Frontera
Cojutepeque
Corinto
San Salvador
San Miguel de Mercedes
San Francisco Morazán
Ciudad Barrios
San Ignacio
Nahulingo
San Isidro Labrador
Agua Caliente
Tepecoyo
Santa Catarina Masahuat
Puerto El Triunfo
San Luis de la Reina
San Marcos
Ozatlán
Azacualpa
Ilopango
Jucuarán
Yucuaiquín
El Paraíso
Delicias de Concepción
Nuevo Cuscatlán
Jicalapa
Quelepa
Santa Ana
Dolores
Chiltiupán
Carolina
Santo Tomás
El Porvenir
Monte San Juan
San Julián
Tonacatepeque
El Carmen
Berlín
El Triunfo
Santiago Texacuangos
Jocoaitique
San Ramón
San Francisco Javier
Santa Cruz Michapa
Chalatenango
Nueva Granada
Sacacoyo
Santa Rita
San Juan Tepezontes
Pasaquina
San Bartolomé Perulapía
Apastepeque
Mercedes Umaña
Tejutla
San Vicente
Guazapa
Chalchuapa
La Unión
Santa María
